wals_code,iso_code,glottocode,name,lat,lon,genus,family,subfamily
aab,__1,,Arapesh (Abu),-3.45,142.95,Kombio-Arapesh,Torricelli,__
aar,aiw,aari1239,Aari,6.0,36.5833333333,South Omotic,Afro-Asiatic,Omotic
aba,aau,abau1245,Abau,-4.0,141.25,Upper Sepik,Sepik,__
abb,shu,chad1249,Arabic (Abbéché Chad),13.8333333333,20.8333333333,Semitic,Afro-Asiatic,__
abd,abi,abid1235,Abidji,5.66666666667,-4.58333333333,Kwa,Niger-Congo,__
abe,apc,nort3139,Arabic (Beirut),33.9166666667,35.5,Semitic,Afro-Asiatic,__
abh,abv,baha1259,Arabic (Bahrain),26.0,50.5,Semitic,Afro-Asiatic,__
abi,axb,abip1241,Abipón,-29.0,-61.0,Guaicuruan,Guaicuruan,__
abk,abk,abkh1244,Abkhaz,43.0833333333,41.0,Northwest Caucasian,Northwest Caucasian,__
abm,akz,alab1237,Alabama,32.3333333333,-87.4166666667,Muskogean,Muskogean,__
abn,ard,arab1267,Arabana,-28.25,136.25,Pama-Nyungan,Australian,__
abo,arv,arbo1245,Arbore,5.0,36.75,Eastern Cushitic,Afro-Asiatic,Cushitic
abu,kgr,abun1252,Abun,-0.5,132.5,North-Central Bird's Head,West Papuan,__
abv,abz,abui1241,Abui,-8.25,124.666666667,Greater Alor,Timor-Alor-Pantar,__
abw,abe,west2630,Abenaki (Western),44.0,-72.25,Algonquian,Algic,__
abz,abq,abaz1241,Abaza,44.0,42.0,Northwest Caucasian,Northwest Caucasian,__
ace,ace,achi1257,Acehnese,5.5,95.5,Malayo-Sumbawan,Austronesian,__
acg,aca,acha1250,Achagua,4.41666666667,-72.25,Northern Arawakan,Arawakan,__
ach,guq,ache1246,Aché,-25.25,-55.1666666667,Tupi-Guaraní,Tupian,__
aci,acc,quic1275,Achí,15.1666666667,-90.5,Mayan,Mayan,__
acl,ach,acol1236,Acholi,3.0,32.6666666667,Nilotic,Nilo-Saharan,Eastern Sudanic
acm,acv,achu1247,Achumawi,41.5,-121.0,Palaihnihan,Hokan,__
acn,acn,acha1249,Achang,25.0,98.5,Burmese-Lolo,Sino-Tibetan,Tibeto-Burman
aco,kjq,west2632,Acoma,34.9166666667,-107.583333333,Keresan,Keresan,__
acu,acu,achu1248,Achuar,-2.66667,-76.0,Jivaroan,Jivaroan,__
ada,ads,adam1238,Adamorobe Sign Language,5.83333333333,-0.166666666667,Sign Languages,other,__
adg,adn,adan1251,Adang,-8.2,124.0,Greater Alor,Timor-Alor-Pantar,__
adi,adj,adio1239,Adioukrou,5.41666666667,-4.58333333333,Kwa,Niger-Congo,__
adk,ano,ando1256,Andoke,-0.666666666667,-72.0,Andoke,Andoke,__
adn,adt,adny1235,Adynyamathanha,-30.5,139.5,Pama-Nyungan,Australian,__
adt,ady,adyg1241,Adyghe (Temirgoy),45.2166666667,39.7,Northwest Caucasian,Northwest Caucasian,__
ady,ady,adyg1241,Adyghe (Abzakh),45.2333333333,40.5833333333,Northwest Caucasian,Northwest Caucasian,__
adz,adz,adze1240,Adzera,-6.25,146.25,Oceanic,Austronesian,Eastern Malayo-Polynesian
aea,ale,aleu1260,Aleut (Eastern),54.75,-164.0,Aleut,Eskimo-Aleut,__
aeg,arz,egyp1253,Arabic (Egyptian),30.0,31.0,Semitic,Afro-Asiatic,__
ael,ayl,liby1240,Arabic (Eastern Libyan),32.0,22.0,Semitic,Afro-Asiatic,__
afr,afr,afri1274,Afrikaans,-31.0,22.0,Germanic,Indo-European,__
aga,agd,agar1252,Agarabi,-6.16666666667,146.0,Eastern Highlands,Trans-New Guinea,__
agb,agb,legb1242,Leggbó,6.0,8.0,Cross River,Niger-Congo,Benue-Congo
agc,agt,cent2084,Agta (Central),17.9666666667,121.833333333,Greater Central Philippine,Austronesian,__
agd,duo,dupa1235,Agta (Dupaningan),18.0,122.083333333,Greater Central Philippine,Austronesian,__
agh,agq,aghe1239,Aghem,6.66666666667,10.0,Bantoid,Niger-Congo,Benue-Congo
agl,agx,aghu1253,Aghul,41.75,47.6666666667,Lezgic,Nakh-Daghestanian,Daghestanian
agm,njm,anga1287,Angami,25.6666666667,94.5,Kuki-Chin,Sino-Tibetan,Tibeto-Burman
ago,aoa,ango1258,Angolar,0.25,6.5,Creoles and Pidgins,other,__
agr,agr,agua1253,Aguaruna,-5.0,-78.0,Jivaroan,Jivaroan,__
agt,lnj,leni1238,Anguthimri,-12.3333333333,141.833333333,Pama-Nyungan,Australian,__
agu,agu,agua1252,Aguacatec,15.4166666667,-91.3333333333,Mayan,Mayan,__
agw,wbj,alag1248,Alagwa,-5.5,35.75,Southern Cushitic,Afro-Asiatic,Cushitic
aho,arp,arap1274,Arapaho,40.0,-103.0,Algonquian,Algic,__
ahs,mey,hass1238,Arabic (Bani-Hassan),20.0,-10.0,Semitic,Afro-Asiatic,__
aht,aht,ahte1237,Ahtna,62.0,-145.0,Athapaskan,Na-Dene,__
ahu,ahh,aghu1255,Aghu,-6.16666666667,140.166666667,Awju-Dumut,Trans-New Guinea,__
aik,tba,aika1237,Aikaná,-12.6666666667,-60.6666666667,Aikaná,Aikaná,__
ain,ain,ainu1240,Ainu,43.0,143.0,Ainu,Ainu,__
aiz,ahp,apro1235,Aizi,5.25,-4.5,Kru,Niger-Congo,__
aja,aja,ajas1235,Aja,7.33333333333,25.6666666667,Kresh,Nilo-Saharan,Central Sudanic
ajg,ajg,ajab1235,Ajagbe,7.0,1.75,Kwa,Niger-Congo,__
aji,aji,ajie1238,Ajië,-21.3333333333,165.5,Oceanic,Austronesian,Eastern Malayo-Polynesian
aka,axk,yaka1272,Aka,2.66666666667,16.25,Bantoid,Niger-Congo,Benue-Congo
akb,abj,akab1249,Aka-Biada,11.6666666667,92.5,Great Andamanese,Great Andamanese,__
akc,aci,akac1240,Aka-Cari,13.5,93.0,Great Andamanese,Great Andamanese,__
akh,ahk,akha1245,Akha,21.8333333333,99.8333333333,Burmese-Lolo,Sino-Tibetan,Tibeto-Burman
akk,akx,akak1252,Aka-Kede,12.75,92.75,Great Andamanese,Great Andamanese,__
akl,akl,akla1241,Aklanon,11.5833333333,122.333333333,Greater Central Philippine,Austronesian,__
akm,mhv,marm1234,Arakanese (Marma),21.5,92.5,Burmese-Lolo,Sino-Tibetan,Tibeto-Burman
akn,aka,akan1250,Akan,6.5,-1.25,Kwa,Niger-Congo,__
ako,acy,cypr1248,Arabic (Kormakiti),35.25,33.5,Semitic,Afro-Asiatic,__
akr,ari,arik1262,Arikara,45.5,-100.5,Caddoan,Caddoan,__
akw,ake,akaw1239,Akawaio,6.0,-59.5,Cariban,Cariban,__
ala,amp,alam1246,Alamblak,-4.66666666667,143.333333333,Sepik Hill,Sepik,__
alb,aln,gheg1238,Albanian,41.0,20.0,Albanian,Indo-European,__
alc,__2,alle1238,Allentiac,-31.0,-68.0,Huarpe,Huarpe,__
ald,ald,alla1248,Alladian,5.16666666667,-4.33333333333,Kwa,Niger-Congo,__
ale,ale,aleu1260,Aleut,54.0,-166.0,Aleut,Eskimo-Aleut,__
alg,alq,algo1255,Algonquin,46.0,-77.0,Algonquian,Algic,__
alk,apr,arop1243,Arop-Lokep,-5.38333333333,147.05,Oceanic,Austronesian,Eastern Malayo-Polynesian
all,nrz,lala1268,Ala'ala,-8.91666666667,146.75,Oceanic,Austronesian,Eastern Malayo-Polynesian
aln,alp,alun1238,Alune,-3.0,128.333333333,Central Malayo-Polynesian,Austronesian,__
als,aes,alse1251,Alsea,44.6666666667,-123.916666667,Alsea,Oregon Coast,__
alt,gsw,swis1247,Alsatian,48.5,7.5,Germanic,Indo-European,__
alu,alr,alut1245,Alutor,61.0,165.0,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,__
alw,alh,alaw1244,Alawa,-15.1666666667,134.25,Maran,Australian,__
alx,btz,bata1292,Alas,3.66666666667,97.8333333333,Northwest Sumatra-Barrier Islands,Austronesian,__
aly,aly,alya1239,Alyawarra,-22.5,135.0,Pama-Nyungan,Australian,__
ama,aie,amar1272,Amara,-5.66666666667,148.5,Oceanic,Austronesian,Eastern Malayo-Polynesian
amb,abt,ambu1247,Ambulas,-3.83333333333,143.0,Middle Sepik,Sepik,__
amc,amc,amah1246,Amahuaca,-10.5,-72.5,Panoan,Panoan,__
amd,adx,amdo1237,Amdo,35.0,100.0,Bodic,Sino-Tibetan,Tibeto-Burman
ame,aey,amel1241,Amele,-5.25,145.583333333,Madang,Trans-New Guinea,__
amh,amh,amha1245,Amharic,10.0,38.0,Semitic,Afro-Asiatic,__
ami,ami,amis1246,Amis,23.3333333333,121.333333333,East Formosan,Austronesian,__
amk,amr,amar1274,Amarakaeri,-12.5,-70.5,Harakmbet,Harakmbet,__
aml,omb,east2443,Ambae (Lolovoli Northeast),-15.4166666667,167.883333333,Oceanic,Austronesian,Eastern Malayo-Polynesian
amm,amm,amap1240,Ama,-4.21666666667,141.616666667,Left May,Left May,__
amn,amn,aman1265,Amanab,-3.58333333333,141.25,Border,Border,__
amo,amo,amoo1242,Amo,10.3333333333,8.66666666667,Kainji,Niger-Congo,Benue-Congo
amp,are_aer,east2379,Arrernte (Mparntwe),-24.0,136.0,Pama-Nyungan,Australian,__
amq,amk,amba1265,Ambai,-1.83333333333,136.5,South Halmahera - West New Guinea,Austronesian,Eastern Malayo-Polynesian
amr,ary,moro1292,Arabic (Moroccan),34.0,-6.0,Semitic,Afro-Asiatic,__
ams,arb,stan1318,Arabic (Modern Standard),25.0,42.0,Semitic,Afro-Asiatic,__
amt,adx,amdo1237,Amdo (Themchen),38.0,98.0,Bodic,Sino-Tibetan,Tibeto-Burman
amu,ame,yane1238,Amuesha,-10.5,-75.4166666667,Western Arawakan,Arawakan,__
amx,imi,anam1248,Anamuxra,-4.66666666667,145.0,Madang,Trans-New Guinea,__
amz,amu,guer1243,Amuzgo,16.8333333333,-98.0,Amuzgoan,Oto-Manguean,__
ana,aro,arao1248,Araona,-12.3333333333,-67.75,Tacanan,Tacanan,__
anc,anc,ngas1240,Angas,9.5,9.5,West Chadic,Afro-Asiatic,Chadic
ane,anz,anem1249,Anêm,-5.58333333333,149.083333333,Anêm,Anêm,__
ang,agg,ango1254,Anggor,-3.75,141.166666667,Senagi,Senagi,__
ani,hnh,anii1246,//Ani,-18.9166666667,21.9166666667,Central Khoisan,Khoisan,__
anj,aty,anei1239,Anejom,-20.2,169.8,Oceanic,Austronesian,Eastern Malayo-Polynesian
anl,apc,nort3139,Arabic (North Levantine Spoken),33.75,36.0,Semitic,Afro-Asiatic,__
ann,aoi,anin1240,Anindilyakwa,-14.0,136.5,Anindilyakwa,Australian,Gunwinyguan
ano,nun,nung1282,Anong,27.3333333333,98.75,Nungish,Sino-Tibetan,Tibeto-Burman
ant,agm,anga1290,Angaatiha,-7.21666666667,146.25,Angan,Trans-New Guinea,__
anu,cko,anuf1239,Anufo,10.0833333333,0.25,Kwa,Niger-Congo,__
anx,ani,andi1255,Andi,42.75,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian,Daghestanian
any,anu,anua1242,Anywa,8.0,33.5,Nilotic,Nilo-Saharan,Eastern Sudanic
ao,njo,aona1235,Ao,26.5833333333,94.6666666667,Kuki-Chin,Sino-Tibetan,Tibeto-Burman
aoj,aoj,mufi1238,Mufian,-3.5,143.0,Kombio-Arapesh,Torricelli,__
apa,ajp,sout3123,Arabic (Palestinian),32.0,35.25,Semitic,Afro-Asiatic,__
apc,apm,mesc1238,Apache (Chiricahua),33.25,-108.0,Athapaskan,Na-Dene,__
ape,apz,safe1240,Ampeeli,-6.75,146.083333333,Angan,Trans-New Guinea,__
api,apn,apin1244,Apinayé,-5.5,-48.0,Ge-Kaingang,Macro-Ge,__
apj,apj,jica1244,Apache (Jicarilla),36.5833333333,-104.0,Athapaskan,Na-Dene,__
apk,apq,apuc1241,A-Pucikwar,12.1666666667,92.8333333333,Great Andamanese,Great Andamanese,__
apl,apy,apal1257,Apalaí,0.0,-54.0,Cariban,Cariban,__
apt,apt,apat1240,Apatani,27.5,93.75,Tani,Sino-Tibetan,Tibeto-Burman
apu,apu,apur1254,Apurinã,-9.0,-67.0,Purus,Arawakan,__
apw,apw,west2615,Apache (Western),33.75,-110.0,Athapaskan,Na-Dene,__
ara,arw,araw1276,Arawak,5.5,-55.1666666667,Northern Arawakan,Arawakan,__
arb,arl,arab1268,Arabela,-2.0,-75.1666666667,Zaparoan,Zaparoan,__
arc,aqc,arch1244,Archi,42.0,46.8333333333,Lezgic,Nakh-Daghestanian,Daghestanian
ard,jbj,aran1237,Arandai,-2.08333333333,133.0,South Bird's Head,Marind,__
arg,afb,gulf1241,Arabic (Gulf),26.0,49.0,Semitic,Afro-Asiatic,__
arh,acw,hija1235,Arabic (Hijazi),26.0,38.0,Semitic,Afro-Asiatic,__
ari,laz,arib1241,Aribwatsa,-6.71666666667,147.0,Oceanic,Austronesian,Eastern Malayo-Polynesian
arj,afb,gulf1241,Arabic (Kuwaiti),29.5,47.5,Semitic,Afro-Asiatic,__
ark,akr,arak1252,Araki,-15.6666666667,166.916666667,Oceanic,Austronesian,Eastern Malayo-Polynesian
arl,apc,nort3139,Arabic (Lebanese),34.0,36.0,Semitic,Afro-Asiatic,__
arm,hye,nucl1235,Armenian (Eastern),40.0,45.0,Armenian,Indo-European,__
arn,shu,chad1249,Arabic (Borno Nigerian),8.58333333333,12.4166666667,Semitic,Afro-Asiatic,__
aro,aia,aros1241,Arosi,-10.25,161.333333333,Oceanic,Austronesian,Eastern Malayo-Polynesian
arp,ape,buki1249,Arapesh (Mountain),-3.46666666667,143.166666667,Kombio-Arapesh,Torricelli,__
arq,acm,meso1252,Arabic (Iraqi),33.0,44.0,Semitic,Afro-Asiatic,__
arr,are_aer,east2379,Arrernte,-24.0,134.0,Pama-Nyungan,Australian,__
ars,ayn,sana1295,Arabic (San'ani),16.0,44.0,Semitic,Afro-Asiatic,__
arv,ajp,sout3123,Arabic (Negev),30.5,34.75,Semitic,Afro-Asiatic,__
arw,hye,nucl1235,Armenian (Western),38.5,43.5,Armenian,Indo-European,__
arx,alu,area1240,'Are'are,-9.25,161.166666667,Oceanic,Austronesian,Eastern Malayo-Polynesian
arz,hye,nucl1235,Armenian (Iranian),32.6666666667,51.6666666667,Armenian,Indo-European,__
ash,ady,adyg1241,Adyghe (Shapsugh),45.0,38.75,Northwest Caucasian,Northwest Caucasian,__
asl,ase,amer1248,American Sign Language,39.0,-78.0,Sign Languages,other,__
asm,tml,tamn1235,Asmat,-5.5,138.5,Asmat-Kamoro,Trans-New Guinea,__
aso,alt,sout2694,Altai (Southern),51.0,87.0,Turkic,Altaic,__
ass,asm,assa1263,Assamese,26.0,93.0,Indic,Indo-European,__
ast,ast,astu1245,Asturian,43.25,-6.0,Romance,Indo-European,__
asu,asu,toca1235,Asuriní,-3.5,-49.5,Tupi-Guaraní,Tupian,__
asy,apc,nort3139,Arabic (Syrian),34.0,38.0,Semitic,Afro-Asiatic,__
ata,tay,atay1247,Atayal,24.5,121.333333333,Atayalic,Austronesian,__
atb,atq,aral1243,Aralle-Tabulahan,-2.75,119.25,South Sulawesi,Austronesian,__
atc,upv,urip1239,Atchin,-16.0,167.333333333,Oceanic,Austronesian,Eastern Malayo-Polynesian
ath,aph,athp1241,Athpare,27.0,87.3333333333,Mahakiranti,Sino-Tibetan,Tibeto-Burman
ati,atj,atik1240,Atikamekw,48.0,-74.0,Algonquian,Algic,__
atk,aqp,atak1252,Atakapa,30.0,-93.5,Atakapa,Atakapa,__
atm,kuz,kunz1244,Atacameño,-23.0,-69.0,Kunza,Kunza,__
atq,ems,paci1278,Alutiiq,57.0,-157.0,Eskimo,Eskimo-Aleut,__
ats,atw,atsu1245,Atsugewi,40.75,-121.0,Palaihnihan,Hokan,__
atu,aeb,tuni1259,Arabic (Tunisian),36.75,10.25,Semitic,Afro-Asiatic,__
au,avt,auuu1241,Au,-3.58333333333,142.083333333,Wapei-Palei,Torricelli,__
aul,aul,aulu1238,Aulua,-16.3333333333,167.666666667,Oceanic,Austronesian,Eastern Malayo-Polynesian
aus,asf,aust1271,Auslan,-30.0,145.0,Sign Languages,other,__
auy,auy,awiy1238,Auyana,-6.5,145.75,Eastern Highlands,Trans-New Guinea,__
ava,ava,avar1256,Avar,42.5,46.5,Avar-Andic-Tsezic,Nakh-Daghestanian,Daghestanian
avk,avi,avik1243,Avikam,5.16666666667,-5.5,Kwa,Niger-Congo,__
avo,avu,avok1242,Avokaya,4.66666666667,30.0,Moru-Ma'di,Nilo-Saharan,Central Sudanic
avt,avn,avat1244,Avatime,6.83333333333,0.416666666667,Kwa,Niger-Congo,__
awa,awb,awap1236,Awa,-6.66666666667,145.75,Eastern Highlands,Trans-New Guinea,__
awd,awa,awad1243,Awadhi,27.5,81.5,Indic,Indo-European,__
awe,are_aer,west2441,Arrernte (Western),-24.0,132.5,Pama-Nyungan,Australian,__
awi,awi,aeky1238,Aekyom,-5.75,141.416666667,Awin-Pare,Awin-Pare,__
awk,png,pong1250,Akwa,10.0833333333,6.33333333333,Kainji,Niger-Congo,Benue-Congo
awn,awn,awng1244,Awngi,10.8333333333,36.6666666667,Central Cushitic,Afro-Asiatic,Cushitic
awp,kwi,awac1239,Awa Pit,1.5,-78.25,Barbacoan,Barbacoan,__
awt,kmn,awtu1239,Awtuw,-3.58333333333,142.0,Ram,Sepik,__
awy,auw,awyi1241,Awyi,-2.91666666667,140.583333333,Border,Border,__
axv,akv,akhv1239,Akhvakh,42.3333333333,46.3333333333,Avar-Andic-Tsezic,Nakh-Daghestanian,Daghestanian
ayi,any,anyi1245,Anyi,7.0,-3.5,Kwa,Niger-Congo,__
aym,ayc,nucl1667,Aymara,-17.0,-69.0,Aymaran,Aymaran,__
ayn,aib,ainu1251,Aynu,39.5,76.0,Turkic,Altaic,__
ayo,__3,,Ayomán,11.0,-69.0,Jirajaran,Jirajaran,__
ayr,ayo,ayor1240,Ayoreo,-20.25,-59.25,Zamucoan,Zamucoan,__
ayw,nfl,ayiw1239,Ayiwo,-10.3333333333,166.25,Oceanic,Austronesian,Eastern Malayo-Polynesian
aze,azb,sout2697,Azerbaijani,40.5,48.5,Turkic,Altaic,__
azi,azb,sout2697,Azari (Iranian),37.5,47.0,Turkic,Altaic,__
baa,bbb,bara1377,Barai,-9.33333333333,148.083333333,Koiarian,Trans-New Guinea,__
bab,bav,veng1238,Babungo,6.11666666667,10.4166666667,Bantoid,Niger-Congo,Benue-Congo
bac,wdj,wadj1254,Bachamal,-13.1666666667,130.166666667,Anson Bay,Australian,Daly
bad,bde,bade1248,Bade,12.8333333333,10.5,West Chadic,Afro-Asiatic,Chadic
bae,bae,bare1276,Baré,1.0,-67.0,Northern Arawakan,Arawakan,__
baf,bfd,bafu1246,Bafut,6.25,9.91666666667,Bantoid,Niger-Congo,Benue-Congo
bag,bmi,bagi1246,Bagirmi,11.6666666667,16.0,Bongo-Bagirmi,Nilo-Saharan,Central Sudanic
bah,__4,,Bahuana,-0.5,-62.5,Northern Arawakan,Arawakan,__
bai,bca,cent2004,Bai,26.0,100.0,Bai,Sino-Tibetan,Tibeto-Burman
baj,bdl,indo1317,Bajau (Sama),-4.33333333333,123.0,Sama-Bajaw,Austronesian,__
bak,bkc,baka1272,Baka (in Cameroon),2.58333333333,13.5833333333,Ubangi,Niger-Congo,Adamawa-Ubangi
bal,ban,bali1278,Balinese,-8.33333333333,115.25,Malayo-Sumbawan,Austronesian,__
bam,bam,bamb1269,Bambara,12.5,-7.5,Western Mande,Niger-Congo,Mande
ban,bcw,bana1305,Bana,10.4166666667,13.5833333333,Biu-Mandara,Afro-Asiatic,Chadic
bao,peh,bona1250,Bao'an,35.75,102.833333333,Mongolic,Altaic,__
baq,brg,baur1253,Baure,-13.0833333333,-64.1666666667,Bolivia-Parana,Arawakan,__
bar,bfa,bari1284,Bari,5.0,31.6666666667,Nilotic,Nilo-Saharan,Eastern Sudanic
bas,bas,basa1284,Basaá,3.91666666667,10.5,Bantoid,Niger-Congo,Benue-Congo
bat,bya,bata1301,Batak,10.25,119.083333333,Greater Central Philippine,Austronesian,__
bau,bbd,bauu1244,Bau,-5.25,145.616666667,Madang,Trans-New Guinea,__
baw,bgr,bawm1236,Bawm,22.5,92.25,Kuki-Chin,Sino-Tibetan,Tibeto-Burman
bbf,bbo,sout2840,Bobo Madaré (Northern),12.4166666667,-4.33333333333,Western Mande,Niger-Congo,Mande
bbl,bvx,dibo1245,Babole,1.08333333333,17.25,Bantoid,Niger-Congo,Benue-Congo
bbm,ptu,bamb1270,Bambam,-3.08333333333,119.083333333,South Sulawesi,Austronesian,__
bbu,brm,bara1361,Barambu,3.5,27.0,Ubangi,Niger-Congo,Adamawa-Ubangi
bbw,gup,gunw1252,Bininj Gun-Wok,-12.5,133.75,Gunwinygic,Australian,Gunwinyguan
bca,bdy,band1339,Bandjalang (Casino),-28.9166666667,153.0,Pama-Nyungan,Australian,__
bch,shy,tach1249,Berber (Chaouia),35.0,7.0,Berber,Afro-Asiatic,__
bco,blc,bell1243,Bella Coola,52.5,-126.666666667,Bella Coola,Salishan,__
bdc,brc,berb1259,Berbice Dutch Creole,5.33333333333,-58.0,Creoles and Pidgins,other,__
bdg,bfq,bada1257,Badaga,11.6666666667,76.75,Southern Dravidian,Dravidian,__
bdk,bdk,budu1248,Budukh,41.1666666667,48.4166666667,Lezgic,Nakh-Daghestanian,Daghestanian
bdm,bia,badi1246,Badimaya,-27.6666666667,118.0,Pama-Nyungan,Australian,__
bdu,buu,budu1250,Budu,2.0,28.0,Bantoid,Niger-Congo,Benue-Congo
bdw,bdw,baha1258,Baham,-3.16666666667,132.666666667,West Bomberai,West Bomberai,__
beb,bef,bena1264,Benabena,-6.16666666667,145.5,Eastern Highlands,Trans-New Guinea,__
bec,ctg,chit1275,Bengali (Chittagong),22.3333333333,91.8333333333,Indic,Indo-European,__
bee,beq,beem1239,Beembe,-3.91666666667,14.0833333333,Bantoid,Niger-Congo,Benue-Congo
beg,dbj,idaa1241,Begak-Ida'an,5.25,118.833333333,North Borneo,Austronesian,__
bej,bej,beja1238,Beja,18.0,36.0,Beja,Afro-Asiatic,Cushitic
bel,byw,belh1239,Belhare,26.9666666667,87.3,Mahakiranti,Sino-Tibetan,Tibeto-Burman
bem,bmy,bemb1258,Bemba,-10.0,28.25,Bantoid,Niger-Congo,Benue-Congo
ben,ben,beng1280,Bengali,24.0,90.0,Indic,Indo-European,__
beo,bue,beot1247,Beothuk,48.0,-57.0,Beothuk,Beothuk,__
ber,wti,bert1248,Berta,10.3333333333,34.6666666667,Berta,Nilo-Saharan,__
bet,bev,dalo1238,Bété,6.25,-6.25,Kru,Niger-Congo,__
bez,kap,bezh1248,Bezhta,42.0833333333,46.1666666667,Avar-Andic-Tsezic,Nakh-Daghestanian,Daghestanian
bfd,bif,biaf1240,Biafada,11.4166666667,-15.1666666667,Northern Atlantic,Niger-Congo,Atlantic
bfg,__5,,Berber (Figuig),32.5,-1.5,Berber,Afro-Asiatic,__
bfi,ksf,bafi1243,Bafia,5.0,11.1666666667,Bantoid,Niger-Congo,Benue-Congo
bga,bng,beng1282,Benga,1.16666666667,9.41666666667,Bantoid,Niger-Congo,Benue-Congo
bgg,bgz,bang1368,Banggai,-1.41666666667,123.166666667,Celebic,Austronesian,__
bgi,bgq,bagr1243,Bagri,29.5833333333,74.3333333333,Indic,Indo-European,__
bgl,sab,bugl1243,Buglere,8.5,-81.25,Guaymi,Chibchan,__
bgm,dba,bang1363,Bangime,14.9166666667,-3.83333333333,Bangime,Bangime,__
bgn,__6,bugu1246,Bugun,27.5,92.5833333333,Western Arunachal,Sino-Tibetan,Tibeto-Burman
bgo,bot,bong1285,Bongo,7.5,28.5,Bongo-Bagirmi,Nilo-Saharan,Central Sudanic
bgr,fuu,furu1242,Bagiro,4.33333333333,20.5833333333,Bongo-Bagirmi,Nilo-Saharan,Central Sudanic
bgs,bsp,baga1272,Baga Sitemu,10.5,-14.5,Mel,Niger-Congo,Atlantic
bgv,kva,bagv1239,Bagvalal,42.5833333333,46.1666666667,Avar-Andic-Tsezic,Nakh-Daghestanian,Daghestanian
bgz,bdg,bong1289,Banggi,7.25,117.166666667,Barito,Austronesian,__
bhi,bhb,bhil1251,Bhili,22.0,73.0,Indic,Indo-European,__
bhn,bjh,bahi1254,Bahinemo,-4.58333333333,142.833333333,Sepik Hill,Sepik,__
bho,bho,bhoj1244,Bhojpuri,26.0,84.0,Indic,Indo-European,__
bhu,unr,mund1320,Bhumij,21.3333333333,86.5,Munda,Austro-Asiatic,__
bia,bip,bila1255,Bira,1.0,28.75,Bantoid,Niger-Congo,Benue-Congo
bid,bid,bidi1241,Bidiya,11.9166666667,18.75,East Chadic,Afro-Asiatic,Chadic
big,yul,yulu1243,Binga,8.0,25.0,Bongo-Bagirmi,Nilo-Saharan,Central Sudanic
bii,bzr,biri1256,Biri,-20.5,146.5,Pama-Nyungan,Australian,__
bik,bhw,biak1248,Biak,-1.0,136.0,South Halmahera - West New Guinea,Austronesian,Eastern Malayo-Polynesian
bil,blb,bilu1245,Bilua,-7.75,156.666666667,Bilua,Solomons East Papuan,__
bim,bhp,bima1247,Bima,-8.5,118.5,Central Malayo-Polynesian,Austronesian,__
bin,bhg,bina1277,Binandere,-8.25,148.0,Binanderean,Trans-New Guinea,__
bio,bio,naii1241,Nai,-3.71666666667,141.266666667,Kwomtari,Kwomtari-Baibai,__
biq,bps,sara1326,Bilaan,6.0,125.333333333,Bilic,Austronesian,__
bir,bom,bero1242,Birom,9.66666666667,8.83333333333,Platoid,Niger-Congo,Benue-Congo
bis,bib,biss1248,Bisa,11.5,-0.5,Eastern Mande,Niger-Congo,Mande
bit,bth,biat1246,Biatah,1.25,110.0,Land Dayak,Austronesian,__
biu,bzi,bisu1246,Bisu,19.75,100.0,Burmese-Lolo,Sino-Tibetan,Tibeto-Burman
bjs,ssb,sout2918,Bajau (Semporna),4.5,118.5,Sama-Bajaw,Austronesian,__
bka,bdh,baka1274,Baka (in Sudan),4.83333333333,29.25,Bongo-Bagirmi,Nilo-Saharan,Central Sudanic
bkb,xub,bett1235,Betta Kurumba,11.5,76.75,Southern Dravidian,Dravidian,__
bkd,bkd,binu1244,Binukid,8.25,124.833333333,Greater Central Philippine,Austronesian,__
bki,bkq,baka1277,Bakairí,-14.0,-55.0,Cariban,Cariban,__
bkl,bcl,cent2087,Bikol,13.3333333333,123.5,Greater Central Philippine,Austronesian,__
bkn,bdu,orok1266,Bakundu,4.83333333333,9.33333333333,Bantoid,Niger-Congo,Benue-Congo
bkr,btx,bata1293,Batak (Karo),3.25,98.25,Northwest Sumatra-Barrier Islands,Austronesian,__
bkt,bkk,brok1247,Brokskat,35.3333333333,76.5,Indic,Indo-European,__
bku,bri,mokp1239,Bakueri,4.25,9.25,Bantoid,Niger-Congo,Benue-Congo
bla,bla,siks1238,Blackfoot,50.0,-112.666666667,Algonquian,Algic,__
blc,bgp,east2304,Baluchi,28.0,62.0,Iranian,Indo-European,__
ble,bci,baou1238,Baule,7.0,-5.0,Kwa,Niger-Congo,__
blg,blw,bala1310,Balangao,17.1666666667,121.166666667,Northern Luzon,Austronesian,__
blj,koe,kaci1244,Baale,6.5,34.5,Surmic,Nilo-Saharan,Eastern Sudanic
blk,blz,bala1315,Balantak,-0.833333333333,123.25,Celebic,Austronesian,__
bln,byn,bili1260,Bilin,15.75,38.5,Central Cushitic,Afro-Asiatic,Cushitic
blq,bol,nucl1695,Bole,11.3333333333,11.25,West Chadic,Afro-Asiatic,Chadic
blr,bel,bela1254,Belorussian,54.0,28.0,Slavic,Indo-European,__
blt,bft,balt1258,Balti,35.0,76.0,Bodic,Sino-Tibetan,Tibeto-Burman
