"lab.name","lab.genus","lab.family","lab.subfamily","lab.lat","lab.lon","lab.iso"
"Sorbian (Upper)","Slavic","Indo-European","__","51.8333333333","14.5","'hsb_dsb'"
"Mbay","Bongo-Bagirmi","Nilo-Saharan","Central Sudanic","8.25","17.5","'myb'"
"Ahtna","Athapaskan","Na-Dene","__","62","-145","'aht'"
"Aghu","Awju-Dumut","Trans-New Guinea","__","-6.16666666667","140.166666667","'ahh'"
"Mangbetu","Mangbetu","Nilo-Saharan","Central Sudanic","2.5","26.5","'mdj'"
"Manambu","Middle Sepik","Sepik","__","-4.25","142.833333333","'mle'"
"Mbara","Biu-Mandara","Afro-Asiatic","Chadic","11","15.4166666667","'mpk'"
"Waorani","Waorani","Waorani","__","-1","-76.5","'auc'"
"Wangkumara","Pama-Nyungan","Australian","__","-27.3333333333","143","'nbx'"
"Wambaya","West Barkly","Australian","__","-18.6666666667","135.75","'wmb'"
"Gitksan","Tsimshianic","Penutian","__","55.3333333333","-127.75","'git'"
"Wakhi","Iranian","Indo-European","__","36.5","72","'wbl'"
"Gula Iro","Adamawa","Niger-Congo","Adamawa-Ubangi","10.25","19.4166666667","'glj'"
"Wai Wai","Cariban","Cariban","__","1","-59","'waw'"
"Wahgi","Chimbu","Trans-New Guinea","__","-5.83333333333","144.716666667","'wgi'"
"Wagiman","Wagiman","Australian","Gunwinyguan","-14","131.25","'waq'"
"Giziga","Biu-Mandara","Afro-Asiatic","Chadic","10.3333333333","14.1666666667","'gis'"
"Gidabal","Pama-Nyungan","Australian","__","-28.4166666667","152.416666667","'bdy'"
"Wayampi","Tupi-Guaran","Tupian","__","1","-52","'oym'"
"Gimira","North Omotic","Afro-Asiatic","Omotic","7","35.75","'bcq'"
"Gilaki","Iranian","Indo-European","__","37.3333333333","50","'glk'"
"Washo","Washo","Washo","__","39.25","-120","'was'"
"Wari'","Chapacura-Wanham","Chapacura-Wanham","__","-11.3333333333","-65","'pav'"
"Wappo","Wappo","Wappo-Yukian","__","38.5","-122.5","'wao'"
"Zoque (Chimalapa)","Mixe-Zoque","Mixe-Zoque","__","16.75","-94.75","'zoh'"
"Azari (Iranian)","Turkic","Altaic","__","37.5","47","'azb'"
"Quich","Mayan","Mayan","__","15","-91.4166666667","'quc'"
"Iquito","Zaparoan","Zaparoan","__","-3.25","-74","'iqu'"
"Matis","Panoan","Panoan","__","-4.41666666667","-70.25","'mpq'"
"Mixe (Totontepec)","Mixe-Zoque","Mixe-Zoque","__","17.25","-96","'mto'"
"Azerbaijani","Turkic","Altaic","__","40.5","48.5","'azb'"
"Massachusett","Algonquian","Algic","__","42.5","-71","'wam'"
"Motu","Oceanic","Austronesian","Eastern Malayo-Polynesian","-9.33333333333","147","'meu'"
"Inuktitut (Quebec-Labrador)","Eskimo","Eskimo-Aleut","__","62","-73","'ike'"
"Mixe (Tlahuitoltepec)","Mixe-Zoque","Mixe-Zoque","__","17.0833333333","-96.1666666667","'mxp'"
"Motiln (Chibchan)","Motilon","Chibchan","__","9","-73","'mot'"
"Malto","Northern Dravidian","Dravidian","__","25","87.3333333333","'kmj'"
"Mattole","Athapaskan","Na-Dene","__","40.1666666667","-124.166666667","'mvb'"
"Urum","Turkic","Altaic","__","47.1166666667","37.55","'uum'"
"Matuumbi","Bantoid","Niger-Congo","Benue-Congo","-8.5","39","'mgw'"
"Mentuh Tapuh","Land Dayak","Austronesian","__","1.25","111","'sdo'"
"Montagnais","Algonquian","Algic","__","52","-65","'moe'"
"Quechua (Imbabura)","Quechuan","Quechuan","__","0.333333333333","-78","'qvi'"
"Nuni (Northern)","Gur","Niger-Congo","__","12.1666666667","-3","'nuv'"
"Nanumea","Oceanic","Austronesian","Eastern Malayo-Polynesian","-5.66666666667","176.116666667","'tvl'"
"Nankina","Finisterre-Huon","Trans-New Guinea","__","-5.78333333333","146.45","'nnk'"
"Nyanga","Bantoid","Niger-Congo","Benue-Congo","-1.25","28.1666666667","'nyj'"
"Kharia","Munda","Austro-Asiatic","__","22.5","84.3333333333","'khr'"
"Khasi","Khasian","Austro-Asiatic","Mon-Khmer","25.5","92","'kha'"
"Nancowry","Nicobarese","Austro-Asiatic","Mon-Khmer","8.05","93.5","'ncb'"
"Khumi","Kuki-Chin","Sino-Tibetan","Tibeto-Burman","21.9166666667","92.4166666667","'cnk'"
"Khvarshi","Avar-Andic-Tsezic","Nakh-Daghestanian","Daghestanian","42.25","46.1666666667","'khv'"
"Khowar","Indic","Indo-European","__","36","72","'khw'"
"Khinalug","Lezgic","Nakh-Daghestanian","Daghestanian","41.1666666667","48.0833333333","'kjj'"
"Khakas","Turkic","Altaic","__","53","90","'kjh'"
"Khalaj","Turkic","Altaic","__","35","50","'klj'"
"Khmer","Khmer","Austro-Asiatic","Mon-Khmer","12.5","105","'khm'"
"Khn","Kam-Tai","Tai-Kadai","__","21","100","'kkh'"
"Khoekhoe","Central Khoisan","Khoisan","__","-25.5","18","'naq'"
"Khalkha","Mongolic","Altaic","__","47","105","'khk'"
"Nanticoke","Algonquian","Algic","__","38","-76.25","'nnt'"
"Kham (Dege)","Bodic","Sino-Tibetan","Tibeto-Burman","31.8333333333","98.5833333333","'khg'"
"Khaling","Bodic","Sino-Tibetan","Tibeto-Burman","27.5","86.6666666667","'klr'"
"Urat","Wapei-Palei","Torricelli","__","-3.66666666667","142.833333333","'urt'"
"Tiv","Bantoid","Niger-Congo","Benue-Congo","7.5","9","'tiv'"
"Tiwi","Tiwian","Australian","__","-11.5","131","'tiw'"
"Tiriyo","Cariban","Cariban","__","3.25","-55.75","'tri'"
"Tibetan (Shigatse)","Bodic","Sino-Tibetan","Tibeto-Burman","29","89","'bod'"
"Tillamook","Tillamook","Salishan","__","45.3333333333","-123.75","'til'"
"Timugon","Northwest Malayo-Polynesian","Austronesian","__","5","116","'tih'"
"Tinrin","Oceanic","Austronesian","Eastern Malayo-Polynesian","-21.6666666667","165.75","'cir'"
"Tikar","Bantoid","Niger-Congo","Benue-Congo","5.83333333333","11.6666666667","'tik'"
"Tidore","North Halmaheran","West Papuan","__","0.75","127.5","'tvo'"
"Tifal","Ok","Trans-New Guinea","__","-5","141.333333333","'tif'"
"Tigrinya","Semitic","Afro-Asiatic","__","14.5","38.5","'tir'"
"Tima","Katla-Tima","Niger-Congo","Kordofanian","11.6666666667","29.25","'tms'"
"Tibetan (Standard Spoken)","Bodic","Sino-Tibetan","Tibeto-Burman","30","91","'bod'"
"Ticuna","Ticuna","Ticuna","__","-4","-70.5","'tca'"
"Nakkara","Nakkara","Australian","__","-12.1166666667","134.416666667","'nck'"
"Mirniny","Pama-Nyungan","Australian","__","-31","129","'nju'"
"Zoque (Francisco Len)","Mixe-Zoque","Mixe-Zoque","__","17.3333333333","-93.25","'zos'"
"Squamish","Central Salish","Salishan","__","49.6666666667","-123.166666667","'squ'"
"Saami (Northern)","Saami","Uralic","Finno-Ugric","69","24","'sme'"
"Finnish Sign Language","Sign Languages","other","__","62","26","'fse'"
"Nubian (Kunuz)","Nubian","Nilo-Saharan","Eastern Sudanic","23","33","'kzh'"
"Romanian","Romance","Indo-European","__","46","25","'ron'"
"Ron","West Chadic","Afro-Asiatic","Chadic","9","8.75","'cla'"
"Yukaghir (Kolyma)","Yukaghir","Yukaghir","__","65.75","150.833333333","'yux'"
"Ossetic","Iranian","Indo-European","__","43","44","'oss'"
"Tokelauan","Oceanic","Austronesian","Eastern Malayo-Polynesian","-9","-172","'tkl'"
"Otom (Santiago Mexquititlan)","Otomian","Oto-Manguean","__","20.0833333333","-100.083333333","'otq'"
"Yakoma","Ubangi","Niger-Congo","Adamawa-Ubangi","4.41666666667","18.4166666667","'yky'"
"Lelemi","Kwa","Niger-Congo","__","7.33333333333","0.5","'lef'"
"Osage","Siouan","Siouan","__","37","-94","'osa'"
"Lamu-Lamu","Pama-Nyungan","Australian","__","-14.8333333333","144.5","'lby'"
"Rotuman","Oceanic","Austronesian","Eastern Malayo-Polynesian","-12.5","177.066666667","'rtm'"
"Roviana","Oceanic","Austronesian","Eastern Malayo-Polynesian","-8.25","157.333333333","'rug'"
"Basque (Gernica)","Basque","Basque","__","43.3333333333","-3","'eus'"
"Basque (Bidasoa Valley)","Basque","Basque","__","43","-3.83333333333","'eus'"
"Veps","Finnic","Uralic","Finno-Ugric","60","35","'vep'"
"Basque (Northern High Navarrese)","Basque","Basque","__","43.3333333333","-2.5","'eus'"
"Basque (Oati)","Basque","Basque","__","42.5","-3.5","'eus'"
"Basque (Lekeitio)","Basque","Basque","__","43","-2.5","'eus'"
"Basque (Hondarribia)","Basque","Basque","__","42.5","-3","'eus'"
"Basque (Basaburua and Imoz)","Basque","Basque","__","43","-1.66666666667","'eus'"
"Vedda","Indic","Indo-European","__","7","81","'ved'"
"Basque (Roncalese)","Basque","Basque","__","43","-2","'eus'"
"Basque (Sakana)","Basque","Basque","__","42.5","-2","'eus'"
"Venda","Bantoid","Niger-Congo","Benue-Congo","-22","30","'ven'"
"Java","Karaj","Macro-Ge","__","-10","-50.3333333333","'kpj'"
"Basque (Zeberio)","Basque","Basque","__","42","-3","'eus'"
"Lardil","Pama-Nyungan","Australian","__","-16.5","139.333333333","'lbz'"
"Larike","Central Malayo-Polynesian","Austronesian","__","-3.75","127.916666667","'alo'"
"Yakut","Turkic","Altaic","__","62","130","'sah'"
"Canela","Ge-Kaingang","Macro-Ge","__","-7","-45","'xra_ram'"
"Dime","South Omotic","Afro-Asiatic","Omotic","6.16666666667","36.25","'dim'"
"Dinka","Nilotic","Nilo-Saharan","Eastern Sudanic","8.5","28","'dip'"
"Diola-Fogny","Northern Atlantic","Niger-Congo","Atlantic","13","-16.25","'dyo'"
"Gugada","Pama-Nyungan","Australian","__","-30","134","'ktd'"
"Gupapuyngu","Pama-Nyungan","Australian","__","-12","136","'guf'"
"Guere","Kru","Niger-Congo","__","6.66666666667","-7.75","'gxx'"
"Gude","Biu-Mandara","Afro-Asiatic","Chadic","10.4166666667","13.4166666667","'gde'"
"Didinga","Surmic","Nilo-Saharan","Eastern Sudanic","4.5","33.5","'did'"
"Diegueo (Mesa Grande)","Yuman","Hokan","__","32.6666666667","-116.166666667","'dih'"
"Digaro","Digaroan","Sino-Tibetan","Tibeto-Burman","28.4166666667","96","'mhu'"
"Gunu","Bantoid","Niger-Congo","Benue-Congo","4.58333333333","11.25","'yas'"
"Gumbaynggir","Pama-Nyungan","Australian","__","-30.1666666667","152.5","'kgs'"
"Gula (in Central African Republic)","Bongo-Bagirmi","Nilo-Saharan","Central Sudanic","9.5","22.5","'glu'"
"Gusii","Bantoid","Niger-Congo","Benue-Congo","-0.75","34.8333333333","'guz'"
"Gurung","Bodic","Sino-Tibetan","Tibeto-Burman","28.3333333333","84.3333333333","'ggn'"
"Guaque","Cariban","Cariban","__","1","-72.0833333333","'_14'"
"Gungbe","Kwa","Niger-Congo","__","6.5","2.5","'guw'"
"Diyari","Pama-Nyungan","Australian","__","-28","139","'dif'"
"Dizi","North Omotic","Afro-Asiatic","Omotic","6.16666666667","36.5","'mdx'"
"Gurma (Togo)","Gur","Niger-Congo","__","10.75","0.666666666667","'gux'"
"Kolana","Kolana-Tanglapui","Timor-Alor-Pantar","__","-8.25","125.116666667","'kvw'"
"Huastec","Mayan","Mayan","__","22.0833333333","-99.3333333333","'hsf'"
"Paamese","Oceanic","Austronesian","Eastern Malayo-Polynesian","-16.5","168.25","'pma'"
"Deti","Central Khoisan","Khoisan","__","-20.5","24.5","'shg'"
"Kaili","Sulawesi","Austronesian","__","-1.16666666667","120","'lew'"
"Pomo (Eastern)","Pomoan","Hokan","__","39","-122.666666667","'peb'"
"Huitoto","Huitoto","Huitotoan","__","-1","-74","'hto'"
"Pomo (Central)","Pomoan","Hokan","__","39","-123.333333333","'poo'"
"Pomo (Northern)","Pomoan","Hokan","__","39.3333333333","-123.5","'pej'"
"Ngad'a","Central Malayo-Polynesian","Austronesian","__","-8.83333333333","121","'nxg'"
"Yiddish (Lodz)","Germanic","Indo-European","__","51.75","19.4166666667","'ydd'"
"Koluri","Iranian","Indo-European","__","37","48","'shm'"
"Yiddish","Germanic","Indo-European","__","52","23","'ydd'"
"Yiddish (Bessarabian)","Germanic","Indo-European","__","47","28.5","'ydd'"
"Zapotec (Texmelucan)","Zapotecan","Oto-Manguean","__","16.5","-97.1666666667","'zpz'"
"Nganasan","Samoyedic","Uralic","__","71","93","'nio'"
"Ekoti","Bantoid","Niger-Congo","Benue-Congo","-16.5","39.5","'eko'"
"Bozo (Tigemaxo)","Western Mande","Niger-Congo","Mande","15","-4","'boz'"
"Ngbaka","Ubangi","Niger-Congo","Adamawa-Ubangi","3.5","20","'nga'"
"Bokar","Tani","Sino-Tibetan","Tibeto-Burman","28.5","94.6666666667","'adi'"
"Bora","Boran","Huitotoan","__","-2.16666666667","-72.3333333333","'boa'"
"Bosnian","Slavic","Indo-European","__","43","18","'bos'"
"Hebrew (Modern Ashkenazic)","Semitic","Afro-Asiatic","__","31.75","35.1666666667","'heb'"
"Berber (Wargla)","Berber","Afro-Asiatic","__","31.9166666667","5.33333333333","'oua'"
"Ekari","Wissel Lakes-Kemandoga","Trans-New Guinea","__","-3.83333333333","135.5","'ekg'"
"Boiken","Middle Sepik","Sepik","__","-3.5","143.5","'bzf'"
"Bori","Tani","Sino-Tibetan","Tibeto-Burman","28.3333333333","94.75","'adi'"
"Boko","Eastern Mande","Niger-Congo","Mande","10.5","3.5","'bqc'"
"Bolia","Bantoid","Niger-Congo","Benue-Congo","-1.25","18.3333333333","'bli'"
"Kalanga","Bantoid","Niger-Congo","Benue-Congo","-20.5","27.5","'kck'"
"Bongu","Madang","Trans-New Guinea","__","-5.5","145.916666667","'bpu'"
"Boazi","Marind Proper","Marind","__","-7","141.333333333","'kvg'"
"Bobangi","Bantoid","Niger-Congo","Benue-Congo","-1.33333333333","17.3333333333","'bni'"
"Tanaina","Athapaskan","Na-Dene","__","62","-150","'tfn'"
"Bodo","Bodo-Garo","Sino-Tibetan","Tibeto-Burman","26.8333333333","92","'brx'"
"Uzbek (Northern)","Turkic","Altaic","__","40.6666666667","66.5","'uzn'"
"Siriano","Tucanoan","Tucanoan","__","0.75","-70.1666666667","'sri'"
"Indo-Pakistani Sign Language (Karachi dialect)","Sign Languages","other","__","28","68","'pks'"
"Indo-Pakistani Sign Language (Indian dialects)","Sign Languages","other","__","24","80","'ins'"
"Uzbek","Turkic","Altaic","__","39","66","'uzn'"
"Fula (Burkina Faso)","Northern Atlantic","Niger-Congo","Atlantic","14","0","'fuh'"
"Ngankikurungkurr","Southern Daly","Australian","Daly","-14","130.5","'nam'"
"Aymara","Aymaran","Aymaran","__","-17","-69","'ayc'"
"Naga (Tangkhul)","Kuki-Chin","Sino-Tibetan","Tibeto-Burman","25","94.5","'nmf'"
"Ayomn","Jirajaran","Jirajaran","__","11","-69","'__3'"
"Aynu","Turkic","Altaic","__","39.5","76","'aib'"
"Anyi","Kwa","Niger-Congo","__","7","-3.5","'any'"
"Magar (Syangja)","Bodic","Sino-Tibetan","Tibeto-Burman","28.0833333333","83.8333333333","'mrd'"
"Warao","Warao","Warao","__","9.33333333333","-61.6666666667","'wba'"
"Miwok (Southern Sierra)","Miwok","Penutian","Utian","37.5","-120","'skd'"
"Musqueam","Central Salish","Salishan","__","49.1666666667","-123","'hur'"
"Maisin","Oceanic","Austronesian","Eastern Malayo-Polynesian","-9.5","149.166666667","'mbq'"
"Musom","Oceanic","Austronesian","Eastern Malayo-Polynesian","-6.58333333333","147","'msu'"
"Masalit","Maban","Nilo-Saharan","__","13.3333333333","22","'mls'"
"Masakin","Talodi Proper","Niger-Congo","Kordofanian","10.6666666667","30","'jle'"
"Marshallese","Oceanic","Austronesian","Eastern Malayo-Polynesian","7.11666666667","171.05","'mah'"
"Mising","Tani","Sino-Tibetan","Tibeto-Burman","28.5","94.8333333333","'mrg'"
"Ayiwo","Oceanic","Austronesian","Eastern Malayo-Polynesian","-10.3333333333","166.25","'nfl'"
"Muisca","Chibchan Proper","Chibchan","__","5","-74","'chb'"
"Ayoreo","Zamucoan","Zamucoan","__","-20.25","-59.25","'ayo'"
"O'odham","Tepiman","Uto-Aztecan","__","32","-112","'ood'"
"Ngarinyeri","Pama-Nyungan","Australian","__","-36","140","'nay'"
"Ibibio","Cross River","Niger-Congo","Benue-Congo","5.25","7.83333333333","'ibb'"
"Cayapa","Barbacoan","Barbacoan","__","0.666666666667","-79","'cbi'"
"Campa (Axininca)","Arawakan","Arawakan","__","-12","-74","'cni'"
"Ibanag","Northern Philippines","Austronesian","__","17.5","121.666666667","'ibg'"
"Cashibo","Panoan","Panoan","__","-8.5","-75.5","'cbr'"
"Carib","Cariban","Cariban","__","5.5","-56","'car'"
"Capanahua","Panoan","Panoan","__","-7","-74","'kaq'"
"Cavinea","Tacanan","Tacanan","__","-13.3333333333","-66.5","'cav'"
"Catio","Choco","Choco","__","7.16666666667","-76.3333333333","'cto'"
"Cakchiquel","Mayan","Mayan","__","14.5","-91","'ckf'"
"Chai","Surmic","Nilo-Saharan","Eastern Sudanic","5.33333333333","35.3333333333","'suq'"
"Cahuilla","Takic","Uto-Aztecan","__","33.5","-116.25","'chl'"
"Candoshi","Candoshi","Candoshi","__","-4.16666666667","-77","'cbu'"
"Cams","Cams","Cams","__","1.16666666667","-77","'kbh'"
"Cacua","Cacua-Nukak","Cacua-Nukak","__","1.08333333333","-70","'cbv'"
"Cabcar","Talamanca","Chibchan","__","9.75","-83.4166666667","'cjp'"
"Uldeme","Biu-Mandara","Afro-Asiatic","Chadic","10.95","14.1166666667","'udl'"
"Caddo","Caddoan","Caddoan","__","33.3333333333","-93.5","'cad'"
"Kyaka","Engan","Trans-New Guinea","__","-5.55","144.083333333","'kyc'"
"Kanyok","Bantoid","Niger-Congo","Benue-Congo","-7.33333333333","23.5833333333","'kny'"
"Koyukon","Athapaskan","Na-Dene","__","65","-155","'koy'"
"Krymchak","Turkic","Altaic","__","45","34.25","'uzn'"
"Kayah Li (Eastern)","Karen","Sino-Tibetan","Tibeto-Burman","19","97.5","'eky'"
"Kuku-Yalanji","Pama-Nyungan","Australian","__","-16","145","'gvn'"
"Salish (Southern Puget Sound)","Central Salish","Salishan","__","47.25","-122.5","'slh'"
"Kenyang","Bantoid","Niger-Congo","Benue-Congo","5.66666666667","9.5","'ken'"
"Kayab","Tupi-Guaran","Tupian","__","-11","-55.5","'kyz'"
"Spokane","Interior Salish","Salishan","__","47.6666666667","-117.75","'spo'"
"Karkar-Yuri","Karkar-Yuri","Karkar-Yuri","__","-3.75","141.083333333","'yuj'"
"Kyuquot","Southern Wakashan","Wakashan","__","50.1666666667","-127.166666667","'noo'"
"German (Zurich)","Germanic","Indo-European","__","47.4166666667","8.5","'gsw'"
"Kaytej","Pama-Nyungan","Australian","__","-21","134","'gbb'"
"Nyangumarda","Pama-Nyungan","Australian","__","-20","121","'nna'"
"Nyulnyul","Nyulnyulan","Australian","__","-17","122.833333333","'nyv'"
"Nyamkad","Bodic","Sino-Tibetan","Tibeto-Burman","32","78.5","'tpq'"
"Nyiha","Bantoid","Niger-Congo","Benue-Congo","-10","33","'nih'"
"Nyimang","Nyimang","Nilo-Saharan","Eastern Sudanic","12.1666666667","29.3333333333","'nyi'"
"Nyigina","Nyulnyulan","Australian","__","-18","124.333333333","'nyh'"
"Nyelyu","Oceanic","Austronesian","Eastern Malayo-Polynesian","-20.3333333333","164.333333333","'yly'"
"Nyamwezi","Bantoid","Niger-Congo","Benue-Congo","-5","33","'nym'"
"Nyawaygi","Pama-Nyungan","Australian","__","-19","146.166666667","'nyt'"
"Nyangi","Kuliak","Nilo-Saharan","Eastern Sudanic","3.41666666667","33.5833333333","'nyp'"
"Shasta","Shasta","Hokan","__","41.8333333333","-122.666666667","'sht'"
"Mapudungun","Araucanian","Araucanian","__","-38","-72","'arn'"
"Masa","Masa","Afro-Asiatic","Chadic","10.5","15.5","'mcn'"
"Maricopa","Yuman","Hokan","__","33.1666666667","-113.166666667","'mrc'"
"Maung","Iwaidjan","Australian","__","-11.9166666667","133.5","'mph'"
"Seneca","Northern Iroquoian","Iroquoian","__","42.5","-77.5","'see'"
"Maninka (Western)","Western Mande","Niger-Congo","Mande","13","-11","'mlq'"
"Maring","Chimbu","Trans-New Guinea","__","-5.5","144.666666667","'mbw'"
"Maybrat","North-Central Bird's Head","West Papuan","__","-1.33333333333","132.5","'ayz'"
"Maxakal","Maxakal","Macro-Ge","__","-18","-40","'mbl'"
"Mazahua","Otomian","Oto-Manguean","__","19.4166666667","-99.9166666667","'maz'"
"Mufian","Kombio-Arapesh","Torricelli","__","-3.5","143","'aoj'"
"Sinhala","Indic","Indo-European","__","7","80.5","'sin'"
"Tobati","Oceanic","Austronesian","Eastern Malayo-Polynesian","-2.58333333333","140.666666667","'tti'"
"Maasai","Nilotic","Nilo-Saharan","Eastern Sudanic","-3","36","'mas'"
"Macushi","Cariban","Cariban","__","4","-60","'mbc'"
"Maba","Maban","Nilo-Saharan","__","13.75","20.8333333333","'mde'"
"Mae","Oceanic","Austronesian","Eastern Malayo-Polynesian","-16","167.25","'mme'"
"Ma'di","Moru-Ma'di","Nilo-Saharan","Central Sudanic","3.25","31.5","'mhi'"
"Magar","Bodic","Sino-Tibetan","Tibeto-Burman","28","83","'mgp'"
"Maithili","Indic","Indo-European","__","26","86","'mai'"
"Mari (Hill)","Mari","Uralic","Finno-Ugric","57","58","'mrj'"
"Makah","Southern Wakashan","Wakashan","__","48.3333333333","-124.666666667","'myh'"
"Majang","Surmic","Nilo-Saharan","Eastern Sudanic","6.75","35","'mpe'"
"Mam","Mayan","Mayan","__","15","-91.8333333333","'mvc'"
"Malagasy","Barito","Austronesian","__","-20","47","'plt'"
"Maori","Oceanic","Austronesian","Eastern Malayo-Polynesian","-40","176","'mri'"
"Mano","Eastern Mande","Niger-Congo","Mande","7","-9","'mev'"
"Gahri","Bodic","Sino-Tibetan","Tibeto-Burman","32.5","77","'bfu'"
"South Korean Sign Language","Sign Languages","other","__","37","128","'kvk'"
"Hoava","Oceanic","Austronesian","Eastern Malayo-Polynesian","-8.08333333333","157.5","'hoa'"
"Zulu (Northern)","Bantoid","Niger-Congo","Benue-Congo","-28","31","'zul'"
"So","Kuliak","Nilo-Saharan","Eastern Sudanic","2.58333333333","34.75","'teu'"
"German (Hannover)","Germanic","Indo-European","__","52.4166666667","9.66666666667","'deu'"
"Guahibo","Guahiban","Guahiban","__","5","-69","'guh'"
"Ghotuo","Edoid","Niger-Congo","Benue-Congo","7.08333333333","5.75","'aaa'"
"Shinassha","North Omotic","Afro-Asiatic","Omotic","10.4166666667","36.1666666667","'bwo'"
"Langue des Signes Franaise","Sign Languages","other","__","47","3","'fsl'"
"Piapoco","Arawakan","Arawakan","__","4","-69.5","'pio'"
"Tatuyo","Tucanoan","Tucanoan","__","0.416666666667","-70.5","'tav'"
"Lengua de Seas Espaola","Sign Languages","other","__","40","-3","'ssp'"
"Lngua de Sinais Brasileira","Sign Languages","other","__","-15","-48","'bzs'"
"Tboli","South Mindanao","Austronesian","__","6.16666666667","124.5","'tbl'"
"Lengua de Seas Argentina","Sign Languages","other","__","-34","-63","'aed'"
"Tati (Southern)","Iranian","Indo-European","__","36","49.6666666667","'tks'"
"Tsova-Tush","Nakh","Nakh-Daghestanian","__","42.5","45.5","'bbl'"
"Sobei","Oceanic","Austronesian","Eastern Malayo-Polynesian","-1.91666666667","138.75","'sob'"
"Tetun","Central Malayo-Polynesian","Austronesian","__","-9","126","'tet'"
"Langue des Signes Qubecoise","Sign Languages","other","__","48","-75","'fcs'"
"Tatar (Baraba)","Turkic","Altaic","__","55.3333333333","78.3333333333","'tat'"
"Gaalpu","Pama-Nyungan","Australian","__","-12.6666666667","136.75","'dhg'"
"Tutelo","Siouan","Siouan","__","37.6666666667","-78.75","'tta'"
"Soddo","Semitic","Afro-Asiatic","__","8.5","38.5","'gru'"
"Djapu","Pama-Nyungan","Australian","__","-12.6666666667","136","'duj'"
"Djaru","Pama-Nyungan","Australian","__","-18.75","128","'ddj'"
"Jibbali","Semitic","Afro-Asiatic","__","17.5","55","'shv'"
"German (Thurgau)","Germanic","Indo-European","__","47.5833333333","9.16666666667","'gsw'"
"Jino","Burmese-Lolo","Sino-Tibetan","Tibeto-Burman","22","101","'jiu'"
"German (Timisoara)","Germanic","Indo-European","__","45.75","21.25","'deu'"
"Guat","Guat","Macro-Ge","__","-17","-58","'gta'"
"Djabugay","Pama-Nyungan","Australian","__","-16.75","145.583333333","'dyy'"
"Djingili","West Barkly","Australian","__","-17.75","134","'jig'"
"Djambarrpuyngu","Pama-Nyungan","Australian","__","-12.1666666667","135.5","'djr'"
"Djinang","Pama-Nyungan","Australian","__","-12.3333333333","134.833333333","'dji'"
"Tiipay (Jamul)","Yuman","Hokan","__","32.1666666667","-116.5","'dih'"
"Nomatsiguenga","Arawakan","Arawakan","__","-11.6666666667","-74.5","'not'"
"Noni","Bantoid","Niger-Congo","Benue-Congo","6.41666666667","10.5833333333","'nhu'"
"Noon","Northern Atlantic","Niger-Congo","Atlantic","14.8333333333","-16.8333333333","'snf'"
"Kankanay","Northern Philippines","Austronesian","__","16.75","120.583333333","'kne'"
"Kokni","Indic","Indo-European","__","20.75","73.5","'kex'"
"Korku","Munda","Austro-Asiatic","__","22.5","78.5","'kfq'"
"Kokota","Oceanic","Austronesian","Eastern Malayo-Polynesian","-8","159.133333333","'kkk'"
"Karankawa","Karankawa","Karankawa","__","28","-97","'zkk'"
"Kaliai-Kove","Oceanic","Austronesian","Eastern Malayo-Polynesian","-5.58333333333","149.666666667","'khl'"
"Kuikro","Cariban","Cariban","__","-12.4166666667","-53.0833333333","'kui'"
"Karakalpak","Turkic","Altaic","__","43","60","'kaa'"
"Nobiin","Nubian","Nilo-Saharan","Eastern Sudanic","21","31","'fia'"
"Kirikiri","Lakes Plain","Lakes Plain","__","-3","137.166666667","'kiy'"
"Kata Kolok","Sign Languages","other","__","-8.25","115.166666667","'bqy'"
"Koranko","Western Mande","Niger-Congo","Mande","9.33333333333","-11.25","'knk'"
"Konkani","Indic","Indo-European","__","15.25","74","'knn'"
"Sooke","Central Salish","Salishan","__","48.3333333333","-123.75","'str'"
"Shatt","Daju","Nilo-Saharan","Eastern Sudanic","10.8333333333","30","'shj'"
"Norwegian","Germanic","Indo-European","__","61","8","'nob'"
"Konkomba","Gur","Niger-Congo","__","10","0.0833333333333","'xon'"
"Frisian (Eastern)","Germanic","Indo-European","__","53.5833333333","7.5","'frs'"
"Shawnee","Algonquian","Algic","__","40","-83","'sjw'"
"Shira Yughur","Mongolic","Altaic","__","38","99","'yuy'"
"Ulcha","Tungusic","Altaic","__","52.25","140.333333333","'ulc'"
"Mbe'","Bantoid","Niger-Congo","Benue-Congo","6.28333333333","11.0833333333","'mtk'"
"Sukuma","Bantoid","Niger-Congo","Benue-Congo","-2.83333333333","32","'suk'"
"Tabassaran","Lezgic","Nakh-Daghestanian","Daghestanian","41.8333333333","47.9166666667","'tab'"
"Haitian Creole","Creoles and Pidgins","other","__","19","-72.5","'hat'"
"Balyku","Pama-Nyungan","Australian","__","-22","120","'nad'"
"Biloxi","Siouan","Siouan","__","30.5","-88.6666666667","'bll'"
"Balanta","Northern Atlantic","Niger-Congo","Atlantic","12.25","-15.3333333333","'bjt'"
"Bena-Lulua","Bantoid","Niger-Congo","Benue-Congo","-6","21","'lua'"
"Balti","Bodic","Sino-Tibetan","Tibeto-Burman","35","76","'bft'"
"Quechua (Huallaga)","Quechuan","Quechuan","__","-9.5","-75.5","'qvh'"
"Bole","West Chadic","Afro-Asiatic","Chadic","11.3333333333","11.25","'bol'"
"Ejagham","Bantoid","Niger-Congo","Benue-Congo","5.41666666667","8.66666666667","'etu'"
